"ábygðaleysi", "ábygðaleysi"
"aðalega", "aðalega"
"aðdáendi", "aðdáendi"
"aðein", "aðein"
"aðstandani", "aðstandani"
"ættingar", "ættingar"
"áfallt", "áfallt"
"áfastann", "áfastann"
"áfórmum", "áfórmum"
"afplánunnar", "afplánunnar"
"áframaldandi", "áframaldandi"
"afrennslulaus", "afrennslulaus"
"afsökunnar", "afsökunnar"
"aftöðu", "aftöðu"
"afurður", "afurður"
"áhesrslu", "áhesrslu"
"áhggyjur", "áhggyjur"
"ákeðnu", "ákeðnu"
"ákvarðanar", "ákvarðanar"
"ákvarðannatöku", "ákvarðannatöku"
"ákvörðunnar", "ákvörðunnar"
"alkólistar", "alkóhólistar"
"all", "all"
"all", "allt"
"allaflestir", "allflestir"
"allavega", "allavega"
"allls", "allls"
"allstaðar", "allsstaðar"
"allveg", "allveg"
"almannréttur", "almannréttur"
"alrei", "aldrei"
"alsnægtir", "allsnægtir"
"alsnægtir", "allsnægtir"
"altof", "altof"
"Alþjóðasundambandið", "Alþjóðasundambandið"
"andlytslyftingu", "andlytslyftingu"
"Angelses", "Angelses"
"angistarköst", "angistarköst"
"annann", "annan"
"annara", "annara"
"annara", "annarra"
"annari", "annarri"
"annða", "annða"
"anorexísu", "anorexísu"
"aö", "að"
"appelsínubörkin", "appelsínubörkin"
"Árdalsafossi", "Árdalsafossi"
"ársinu", "ársinu"
"arum", "arum"
"ásmeginn", "ásmeginn"
"atburðarásinnar", "atburðarásinnar"
"atvinnu", "atvinnu"
"Atvinnvega- og nýsköpunarráðuneytis", "Atvinnuvega- og nýsköpunarráðuneytis"
"auðmagnins", "auðmagnins"
"auðmana", "auðmana"
"auðveldarar", "auðveldarar"
"auðvellt", "auðvellt"
"aukan", "aukan"
"aukapspyrnu", "aukapspyrnu"
"aukaspyurnu", "aukaspyurnu"
"ávalt", "ávalt"
"ávalt", "ávalt"
"áveða", "áveða"
"áverkefa", "áverkefa"
"Babýlóníyumönnum", "Babýlóníyumönnum"
"bæjarfulltúra", "bæjarfulltúra"
"bæjarstjóran", "bæjarstjóran"
"bæjinn", "bæjinn"
"bandaríkjaforseta", "bandaríkjaforseta"
"Bandaríkjann", "Bandaríkjann"
"bauðs", "bauðs"
"BBCum", "BBCum"
"bennt", "bennt"
"Bigir", "Bigir"
"bilunnar", "bilunnar"
"Bjötrgunarsveitamenn", "Bjötrgunarsveitamenn"
"Blómaskreytarnir", "Blómaskreytarnir"
"bólustningar", "bólustningar"
"Borgarf", "Borgarf"
"borgarstjórnans", "borgarstjórnans"
"borgarstjórni", "borgarstjórni"
"Borgaryfrvöldum", "Borgaryfrvöldum"
"botnin", "botnin"
"bráðabrigðabrú", "bráðabrigðabrú"
"brattan", "brattan"
"bráust", "bráust"
"brautskránir", "brautskránir"
"Breiðablk", "Breiðablk"
"Breiðaliks", "Breiðaliks"
"brellibrögð", "brellibrögð"
"breytnigar", "breytnigar"
"breytst", "breytst"
"brjótsti", "brjótsti"
"brötum", "brötum"
"brotust", "brotust"
"brúðuvag", "brúðuvag"
"búffjárrækt", "búffjárrækt"
"Búlgaria", "Búlgaria"
"byðja", "byðja"
"bygganefnd", "bygganefnd"
"Byggðastofnunnar", "Byggðastofnunnar"
"byrjar", "byrjar"
"byrjendu", "byrjendu"
"Dæmiði", "Dæmiði"
"dauðasind", "dauðasind"
"deildarinn", "deildarinn"
"deildna", "deildna"
"dekkjana", "dekkjana"
"demokrataflokksins", "demokrataflokksins"
"díselolíu", "díselolíu"
"ditta", "ditta"
"döknuðu", "döknuðu"
"draumin", "draumin"
"dreyfa", "dreyfa"
"drógst", "drógst"
"drógst", "drógst"
"drykkfelddan", "drykkfelddan"
"dungað", "dungað"
"Dv", "DV"
"dvíandi", "dvíandi"
"dvö", "dvö"
"efir", "efir"
"eftr", "eftr"
"eftuir", "eftuir"
"eigenda", "eigenda"
"eilfíð", "eilfíð"
"einfallt", "einfallt"
"eingin", "eingin"
"eingungis", "eingungis"
"einhverji", "einhverji"
"einhverntíman", "einhverntíman"
"einhverrs", "einhverrs"
"einngi", "einngi"
"einsæðrar", "einsæðrar"
"einstaklingin", "einstaklingin"
"Einungsi", "Einungsi"
"einunings", "einunings"
"einvers", "einvers"
"eistaklingurinn", "eistaklingurinn"
"eitthundrað", "eitthundrað"
"eitthver", "eitthver"
"eitthverja", "eitthverja"
"eitthverja", "eitthverja"
"eitthverjum", "eitthverjum"
"eitthvern", "eitthvern"
"eitthvers", "eitthvers"
"eki", "eki"
"ekk", "ekk"
"eldsukpptök", "eldsukpptök"
"emileraðir", "emileraðir"
"Enarmarkið", "Enarmarkið"
"endan", "endan"
"endasstöð", "endasstöð"
"endureisa", "endureisa"
"endurhljóðblöndunarmeisturun", "endurhljóðblöndunarmeisturun"
"endurstaka", "endurstaka"
"endurverkja", "endurverkja"
"engann", "engann"
"Ennfermur", "Ennfermur"
"erfarið", "erfarið"
"erfiðann", "erfiðann"
"eru", "eru"
"erur", "erur"
"eryu", "eryu"
"Evópu", "Evópu"
"eyðslufyllerýi", "eyðslufyllerýi"
"Eyrasundslestinni", "Eyrasundslestinni"
"Eysti", "Eysti"
"færrri", "færrri"
"fallar", "fallar"
"fangakastallans", "fangakastallans"
"Fármálaeftirlitið", "Fármálaeftirlitið"
"farmhaldi", "farmhaldi"
"fassan", "fassan"
"fasstar", "fasstar"
"fasteiganna", "fasteiganna"
"feikivinæl", "feikivinæl"
"félgaslífið", "félgaslífið"
"felluvörnHefur", "felluvörnHefur"
"felstar", "felstar"
"feministi", "feministi"
"ferðaskrifstaofa", "ferðaskrifstaofa"
"ferlinumHefur", "ferlinumHefur"
"fernhyrndu", "fernhyrndu"
"fertugsaldi", "fertugsaldi"
"ffrumvarp", "ffrumvarp"
"Filipseyjum", "Filipseyjum"
"fimmtugann", "fimmtugann"
"fimtán", "fimtán"
"finndist", "finndist"
"finnt", "finnt"
"firir", "firir"
"fjárhagsörðuleika", "fjárhagsörðuleika"
"fjárhagsörðuleikunum", "fjárhagsörðuleikunum"
"fjármagnshöfum", "fjármagnshöfum"
"fjármálráðherra", "fjármálráðherra"
"fjlótt", "fjlótt"
"fjölbreitta", "fjölbreitta"
"fjöldan", "fjöldan"
"fjöldan", "fjöldan"
"fjöldan", "fjöldan"
"fjöldataöluna", "fjöldataöluna"
"fjömörgum", "fjömörgum"
"fjórtða", "fjórtða"
"fjörtíu", "fjörtíu"
"flaueliskaka", "flaueliskaka"
"fleirra", "fleira"
"fleirra", "fleirra"
"fleirri", "fleiri"
"fleirri", "fleirri"
"fleiru", "fleiru"
"fleitir", "fleitir"
"fleygð", "fleygð"
"fljótega", "fljótega"
"fljótelga", "fljótelga"
"flótlegast", "flótlegast"
"flugtímarisins", "flugtímarisins"
"flúorljósi", "flúorljósi"
"fluttin", "fluttin"
"fók", "fók"
"folk", "folk"
"fomaður", "fomaður"
"forráðamen", "forráðamen"
"forsætisræðherra", "forsætisræðherra"
"forsetan", "forsetan"
"Forsetin", "Forsetin"
"förunatur", "förunatur"
"Forvaraanahóp", "Forvaraanahóp"
"fótana", "fótana"
"fráfræði", "fráfræði"
"framaf", "framaf"
"framfæturnar", "framfæturnar"
"framhaldsskólan", "framhaldsskólan"
"framhaldsskólnum", "framhaldsskólnum"
"framistöðu", "framistöðu"
"framleidddur", "framleidddur"
"frammhaldið", "frammhaldið"
"framúr", "framúr"
"framvkæmdum", "framvkæmdum"
"freistust", "freistust"
"fréttyum", "fréttyum"
"friðsamlegari", "friðsamlegari"
"Fundar", "Fundar"
"fundit", "fundit"
"fyirr", "fyirr"
"fynndið", "fynndið"
"fyribæri", "fyribæri"
"fyrirlið", "fyrirlið"
"fyrirtæksins", "fyrirtæksins"
"fyrirtækum", "fyrirtækum"
"fyrrvernandi", "fyrrvernandi"
"fyrverandi", "fyrverandi"
"Gaðabæ", "Gaðabæ"
"gagngrunns", "gagngrunns"
"gagngrýni", "gagngrýni"
"gagnráð", "gagnráð"
"gangkynhneigðum", "gangkynhneigðum"
"ganglegum", "ganglegum"
"gangvart", "gangvart"
"gannislag", "gannislag"
"Garðarson", "Garðarson"
"gáu", "gáu"
"gengdarlausra", "gengdarlausra"
"gengdarlausum", "gengdarlausum"
"gengdi", "gengdi"
"genge", "genge"
"ghafi", "ghafi"
"gírkasavandræði", "gírkasavandræði"
"Gissurason", "Gissurason"
"grendinni", "grendinni"
"greyjinu", "greyjinu"
"gríðalega", "gríðalega"
"gríðalega", "gríðalega"
"grót", "grót"
"grunnskólamenntunninnar", "grunnskólamenntunninnar"
"grunnskólan", "grunnskólan"
"guðana", "guðana"
"Guðjbörg", "Guðjbörg"
"gullmyllan", "gullmyllan"
"háaðillinn", "háaðillinn"
"hæðstu", "hæðstu"
"hæglætur", "hæglætur"
"hætlar", "hætlar"
"Hæun", "Hæun"
"háfleiks", "háfleiks"
"háfleikstölur", "háfleikstölur"
"háflnaður", "háflnaður"
"hafnarsvæðisisn", "hafnarsvæðisisn"
"hákólanám", "hákólanám"
"hálendinsins", "hálendinsins"
"hálfeik", "hálfeik"
"Hamas-liðiar", "Hamas-liðar"
"han", "han"
"Han", "Han"
"han", "hann"
"handana", "handana"
"handklæðien", "handklæðien"
"handknatleiksstúlka", "handknatleiksstúlka"
"hanns", "hanns"
"harðadiska", "harðadiska"
"hármarki", "hármarki"
"harnað", "harnað"
"háskólamenntunnar", "háskólamenntunnar"
"háskólan", "háskólan"
"hásterkt", "hásterkt"
"hefrur", "hefrur"
"hefyr", "hefyr"
"heilbriðisráðherra", "heilbriðisráðherra"
"Heilddarvirði", "Heilddarvirði"
"heimaslóðirnir", "heimaslóðirnir"
"heimaveilli", "heimaveilli"
"heimilisnotkunnar", "heimilisnotkunnar"
"heimstyrjöldinna", "heimstyrjöldinna"
"hemi", "hemi"
"hengu", "hengu"
"henntist", "henntist"
"hentunum", "hentunum"
"Hérmá", "Hérmá"
"Hermannsyni", "Hermannsyni"
"hertogaynjaf", "hertogaynjaf"
"hilja", "hilja"
"Hilmarssyn", "Hilmarssyn"
"hinsv", "hinsv"
"hjartslátti", "hjartslátti"
"hjóðupptöku", "hjóðupptöku"
"hliðiná", "hliðiná"
"hljómveitum", "hljómveitum"
"hlómar", "hlómar"
"hlustðu", "hlustðu"
"hlutfal", "hlutfal"
"hlutlausann", "hlutlausann"
"hlutsta", "hlutsta"
"hlýjann", "hlýjann"
"hlýtar", "hlýtar"
"hneiksluð", "hneiksluð"
"högi", "högi"
"hollann", "hollann"
"höufm", "höufm"
"hreinilega", "hreinilega"
"hringirnar", "hringirnar"
"hryðjuverkjum", "hryðjuverkjum"
"hryggstykkið", "hryggstykkið"
"hugan", "hugan"
"hughvarft", "hughvarft"
"hugsunagangur", "hugsunagangur"
"hundruði", "hundruði"
"hundruðir", "hundruðir"
"hundruðir", "hundruðir"
"hven", "hven"
"hvenig", "hvenig"
"hverjari", "hverjari"
"hverngi", "hverngi"
"hvernir", "hvernir"
"hvirfilbil", "hvirfilbil"
"hvítabjörnin", "hvítabjörnin"
"hvorteð", "hvorteð"
"hvurn", "hvurn"
"hyggðist", "hyggðist"
"íbúadreif", "íbúadreif"
"iðjuleysingar", "iðjuleysingar"
"ífið", "ífið"
"ílla", "ílla"
"inna", "inna"
"innanfrá", "innanfrá"
"innanhúshönnun", "innanhúshönnun"
"inneignanótu", "inneignanótu"
"inní", "inní"
"Irak", "Irak"
"Íraskar", "Íraskar"
"írösk", "írösk"
"íshokki", "íshokki"
"Islam", "Islam"
"íslensra", "íslensra"
"isnnar", "isnnar"
"ísoprópanóls", "ísoprópanóls"
"Istanbul", "Istanbul"
"Italía", "Italía"
"Jafnfram", "Jafnfram"
"jeppan", "jeppan"
"jöfunarþró", "jöfunarþró"
"Jókertöurnar", "Jókertöurnar"
"kafti", "kafti"
"kakter", "kakter"
"kaldt", "kaldt"
"kalífarninr", "kalífarninr"
"kandidatspróf", "kandidatspróf"
"kanski", "kanski"
"kanski", "kanski"
"kantmanninm", "kantmanninm"
"kappasturinn", "kappasturinn"
"kassan", "kassan"
"kasstar", "kasstar"
"Kaupingi", "Kaupingi"
"keppiefli", "keppiefli"
"keppninar", "keppninar"
"Keppninn", "Keppninn"
"keppninna", "keppninna"
"kilómetra", "kilómetra"
"kínvesk", "kínvesk"
"kissa", "kissa"
"kjarnan", "kjarnan"
"klafs", "klafs"
"klárlegt", "klárlegt"
"klaufanlegt", "klaufanlegt"
"Klettadopan", "Klettadopan"
"knattspyrnusasmbandsins", "knattspyrnusasmbandsins"
"komedía", "komedía"
"komið", "komið"
"konuninni", "konuninni"
"Kóranin", "Kóraninn"
"kóronur", "kóronur"
"kreptan", "kreptan"
"krossnefar", "krossnefar"
"Kúvæt", "Kúvæt"
"kvennmenn", "kvennmenn"
"kvennsa", "kvennsa"
"kvikinnskots", "kvikinnskots"
"kvikmyndahátiðir", "kvikmyndahátiðir"
"kyningar", "kyningar"
"kynþáttsins", "kynþáttsins"
"lagahöfunum", "lagahöfunum"
"lánaðann", "lánaðann"
"Landhelgisgæslunnu", "Landhelgisgæslunnu"
"Landsbjörgu", "Landsbjörgu"
"landslðisþjálfara", "landslðisþjálfara"
"landsliðsþjállfari", "landsliðsþjállfari"
"langin", "langin"
"lausann", "lausann"
"leggði", "leggði"
"leggji", "leggji"
"legstu", "leggstu"
"leiðingjarnt", "leiðingjarnt"
"leikritisins", "leikritisins"
"lespíur", "lespíur"
"leyddi", "leyddi"
"leyddu", "leyddu"
"leyta", "leyta"
"liðinum", "liðinum"
"lífeyrisgreiðslan", "lífeyrisgreiðslan"
"líkaman", "líkaman"
"lipurlegum", "lipurlegum"
"lítlu", "lítlu"
"ljúfengan", "ljúfengan"
"lls", "lls"
"llykilorð", "llykilorð"
"lofárásum", "lofárásum"
"lögreglumannannna", "lögreglumannannna"
"lögreglunar", "lögreglunar"
"lögreglunna", "lögreglunna"
"lögreglustjóran", "lögreglustjóran"
"lögrelan", "lögrelan"
"lokst", "lokst"
"Lundúnarfélagið", "Lundúnarfélagið"
"lýðræðishreifinga", "lýðræðishreifinga"
"Lýðveldiisflokksins", "Lýðveldiisflokksins"
"lyfum", "lyfum"
"lyggja", "lyggja"
"mælikvarðan", "mælikvarðan"
"mai", "mai"
"malvegur", "malvegur"
"mannana", "mannana"
"mannesku", "mannesku"
